year,canton,diseasesGroup,diseases,species,count
2010,GR,Epidemics to be supervised,Listeriosis,Cattle,1
2010,GR,Epidemics to be supervised,Trichinellosis,Fox,1
2010,SZ,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,5
2010,VS,Epidemics to be supervised,Maedi-visna,Sheep,1
2010,ZH,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Sheep,2
2010,JU,Epidemics to be eradicated,Infectious bovine rhinotracheitis,Cattle,2
2010,NE,Epidemics to be supervised,Campylobacteriosis,Dog,2
2010,SH,Epidemics to be fought,European foulbrood of honey bees,Bees,1
2010,VD,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,4
2010,VS,Epidemics to be supervised,Listeriosis,Pigeon,1
2010,BE,Epidemics to be supervised,Echinococcosis/hydatidosis,Dog,1
2010,AG,Epidemics to be supervised,Tularemia,Hare,2
2010,BL,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,2
2010,NW,Epidemics to be fought,Avian chlamydiosis,Pigeon,1
2010,VS,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,8
2010,FR,Epidemics to be fought,Salmonellosis,Sheep,1
2010,VS,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,1
2010,TG,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
2010,BE,Epidemics to be fought,Salmonellosis,Dog,2
2010,GR,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,23
2010,TG,Epidemics to be fought,Salmonellosis,Pig,1
2010,AI,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,1
2010,ZH,Epidemics to be fought,Avian chlamydiosis,Budgerigar,1
2010,JU,Epidemics to be fought,American foulbrood of honey bees,Bees,1
2010,BE,Epidemics to be supervised,Q fever,Sheep,1
2010,OW,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,2
2010,VS,Epidemics to be supervised,Toxoplasmosis,Cat,1
2010,BS,Epidemics to be fought,Avian chlamydiosis,Budgerigar,2
2010,SO,Epidemics to be supervised,Proliferative kidney disease,Fish,1
2010,BE,Epidemics to be supervised,Echinococcosis/hydatidosis,Pig,1
2010,BE,Epidemics to be fought,Swine actinobacillosis,Pig,1
2010,TI,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,1
2010,LU,Epidemics to be fought,Swine actinobacillosis,Pig,1
2010,ZH,Epidemics to be fought,European foulbrood of honey bees,Bees,88
2010,AG,Epidemics to be fought,European foulbrood of honey bees,Bees,53
2010,NE,Epidemics to be fought,American foulbrood of honey bees,Bees,3
2010,VD,Epidemics to be supervised,Listeriosis,Sheep,1
2010,VD,Epidemics to be supervised,Campylobacteriosis,Dog,3
2010,VS,Epidemics to be fought,Salmonellosis,Sheep,2
2010,LU,Epidemics to be fought,American foulbrood of honey bees,Bees,8
2010,AR,Epidemics to be fought,Salmonellosis,Cat,1
2010,AI,Epidemics to be supervised,Neosporosis,Cattle,1
2010,SZ,Epidemics to be fought,European foulbrood of honey bees,Bees,8
2010,ZH,Epidemics to be supervised,Q fever,Cattle,2
2010,VD,Epidemics to be supervised,Cryptosporidiosis,Cattle,24
2010,GR,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,8
2010,LU,Epidemics to be supervised,Listeriosis,Goat,1
2010,SG,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,154
2010,AG,Epidemics to be supervised,Maedi-visna,Goat,3
2010,FR,Epidemics to be supervised,Cryptosporidiosis,Cattle,22
2010,GR,Epidemics to be eradicated,Viral haemorrhagic septicaemia,Fish,2
2010,NE,Epidemics to be fought,Salmonellosis,Songbird,1
2010,VS,Epidemics to be fought,Avian chlamydiosis,Budgerigar,1
2010,TG,Epidemics to be fought,Enzootic pneumonia of swine,Pig,2
2010,BE,Epidemics to be fought,Salmonellosis,Cat,2
2010,ZH,Epidemics to be supervised,Maedi-visna,Sheep,1
2010,GR,Epidemics to be supervised,Q fever,Cattle,4
2010,AR,Epidemics to be supervised,Maedi-visna,Goat,1
2010,BE,Epidemics to be supervised,Listeriosis,Cattle,2
2010,AR,Epidemics to be fought,Paratuberculosis,Goat,3
2010,NE,Epidemics to be supervised,Q fever,Cattle,6
2010,LU,Epidemics to be supervised,Toxoplasmosis,Kangaroo,1
2010,OW,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,5
2010,VS,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,13
2010,FR,Epidemics to be fought,European foulbrood of honey bees,Bees,5
2010,JU,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,8
2010,VD,Epidemics to be fought,Avian salmonellosis,Chicken,1
2010,AG,Epidemics to be fought,Paratuberculosis,Sheep,1
2010,ZH,Epidemics to be supervised,Equine viral arteritis,Horse,1
2010,LU,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,3
2010,GE,Epidemics to be fought,Salmonellosis,Snake,2
2010,AG,Epidemics to be supervised,Echinococcosis/hydatidosis,Other wild animal,1
2010,BE,Epidemics to be fought,Enzootic pneumonia of swine,Pig,7
